Mississippi,326
Oklahoma,1956
Minnesota,720
Illinois,667
Arkansas,2
New Mexico,588
Indiana,161
Maryland,98
Louisiana,582
Texas,881
Arizona,729
Iowa,252
Michigan,346
Kansas,664
Utah,419
Virginia,537
Oregon,835
Connecticut,79
Montana,393
California,275
Idaho,224
West Virginia,397
South Carolina,652
Vermont,379
North Dakota,576
Pennsylvania,872
Puerto Rico,2
Florida,800
Hawaii,116
Kentucky,1354
Nebraska,629
Missouri,673
Ohio,318
Alabama,2
New York,411
South Dakota,99
Colorado,5
Washington,527
North Carolina,487
Tennessee,179
District of Columbia,770
Nevada,7
